,attempted_passes,boxscore_index,completed_passes,completion_percentage,fumbles,fumbles_lost,fumbles_lost_per_attempt,fumbles_per_attempt,interceptions_per_attempt,interceptions_per_completion,interceptions_thrown,longest_pass,longest_rush,passing_TDs_per_attempt,passing_TDs_per_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,passing_yards_per_completion,quarterback_rating,rush_attempts,rush_touchdowns,rush_yards,times_sacked,times_sacked_per_attempt,yards_lost_from_sacks
BradTo00,38,201401190den,24,63.1578947368421,0,0,0.0,0.0,0.0,0.0,0,27,8,0.02631578947368421,0.041666666666666664,1,277,7.2894736842105265,11.541666666666666,93.9,2,1,7,2,0.05263157894736842,21
BradTo00,56,201409070mia,29,51.78571428571429,2,2,0.03571428571428571,0.03571428571428571,0.0,0.0,0,44,3,0.017857142857142856,0.034482758620689655,1,249,4.446428571428571,8.586206896551724,69.7,1,0,3,4,0.07142857142857142,23
BradTo00,21,201409140min,14,66.66666666666666,0,0,0.0,0.0,0.0,0.0,0,44,0,0.047619047619047616,0.07142857142857142,1,149,7.095238095238095,10.642857142857142,103.1,1,0,0,1,0.047619047619047616,7
BradTo00,37,201409210nwe,24,64.86486486486487,1,0,0.0,0.02702702702702703,0.0,0.0,0,22,-2,0.02702702702702703,0.041666666666666664,1,234,6.324324324324325,9.75,91.5,3,0,-7,2,0.05405405405405406,13
BradTo00,23,201409290kan,14,60.86956521739131,2,1,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.14285714285714285,2,44,0,0.043478260869565216,0.07142857142857142,1,159,6.913043478260869,11.357142857142858,59.9,0,0,0,2,0.08695652173913043,8
BradTo00,35,201410050nwe,23,65.71428571428571,0,0,0.0,0.0,0.0,0.0,0,30,6,0.05714285714285714,0.08695652173913043,2,292,8.342857142857143,12.695652173913043,110.7,4,0,13,1,0.02857142857142857,7
BradTo00,37,201410120buf,27,72.97297297297297,0,0,0.0,0.0,0.0,0.0,0,56,4,0.10810810810810811,0.14814814814814814,4,361,9.756756756756756,13.37037037037037,139.6,4,0,3,2,0.05405405405405406,15
BradTo00,37,201410160nwe,20,54.054054054054056,0,0,0.0,0.0,0.0,0.0,0,49,0,0.08108108108108109,0.15,3,261,7.054054054054054,13.05,103.5,0,0,0,1,0.02702702702702703,1
BradTo00,35,201410260nwe,30,85.71428571428571,1,0,0.0,0.02857142857142857,0.0,0.0,0,46,0,0.14285714285714285,0.16666666666666666,5,354,10.114285714285714,11.8,148.4,2,0,0,0,0.0,0
BradTo00,53,201411020nwe,33,62.264150943396224,0,0,0.0,0.0,0.018867924528301886,0.030303030303030304,1,26,4,0.07547169811320754,0.12121212121212122,4,333,6.283018867924528,10.090909090909092,97.4,2,0,4,1,0.018867924528301886,1
BradTo00,30,201411160clt,19,63.33333333333333,0,0,0.0,0.0,0.06666666666666667,0.10526315789473684,2,39,-1,0.06666666666666667,0.10526315789473684,2,257,8.566666666666666,13.526315789473685,85.0,2,0,-2,0,0.0,0
BradTo00,53,201411230nwe,38,71.69811320754717,0,0,0.0,0.0,0.018867924528301886,0.02631578947368421,1,24,0,0.03773584905660377,0.05263157894736842,2,349,6.584905660377358,9.18421052631579,94.0,0,0,0,0,0.0,0
BradTo00,35,201411300gnb,22,62.857142857142854,0,0,0.0,0.0,0.0,0.0,0,29,-1,0.05714285714285714,0.09090909090909091,2,245,7.0,11.136363636363637,102.7,1,0,-1,1,0.02857142857142857,9
BradTo00,44,201412070sdg,28,63.63636363636363,0,0,0.0,0.0,0.022727272727272728,0.03571428571428571,1,69,5,0.045454545454545456,0.07142857142857142,2,317,7.204545454545454,11.321428571428571,90.8,4,0,7,1,0.022727272727272728,7
BradTo00,35,201412140nwe,21,60.0,0,0,0.0,0.0,0.02857142857142857,0.047619047619047616,1,35,17,0.05714285714285714,0.09523809523809523,2,287,8.2,13.666666666666666,93.4,3,0,18,0,0.0,0
BradTo00,35,201412210nyj,23,65.71428571428571,0,0,0.0,0.0,0.02857142857142857,0.043478260869565216,1,14,11,0.02857142857142857,0.043478260869565216,1,182,5.2,7.913043478260869,76.1,7,0,10,4,0.11428571428571428,36
BradTo00,50,201501100nwe,33,66.0,0,0,0.0,0.0,0.02,0.030303030303030304,1,46,4,0.06,0.09090909090909091,3,367,7.34,11.121212121212121,99.3,6,1,0,2,0.04,10
BradTo00,35,201501180nwe,23,65.71428571428571,0,0,0.0,0.0,0.02857142857142857,0.043478260869565216,1,30,9,0.08571428571428572,0.13043478260869565,3,226,6.457142857142857,9.826086956521738,100.4,3,0,13,1,0.02857142857142857,6
BradTo00,35,201502010sea,23,65.71428571428571,0,0,0.0,0.0,0.02857142857142857,0.043478260869565216,1,30,9,0.08571428571428572,0.13043478260869565,3,226,6.457142857142857,9.826086956521738,100.4,3,0,13,1,0.02857142857142857,6
BradTo00,32,201509100nwe,25,78.125,0,0,0.0,0.0,0.0,0.0,0,52,2,0.125,0.16,4,288,9.0,11.52,143.7,3,0,1,2,0.0625,7
BradTo00,59,201509200buf,38,64.40677966101694,1,1,0.01694915254237288,0.01694915254237288,0.0,0.0,0,40,-1,0.05084745762711865,0.07894736842105263,3,466,7.898305084745763,12.263157894736842,105.6,3,0,-4,2,0.03389830508474576,15
BradTo00,42,201509270nwe,33,78.57142857142857,0,0,0.0,0.0,0.0,0.0,0,43,2,0.047619047619047616,0.06060606060606061,2,358,8.523809523809524,10.848484848484848,118.1,2,0,4,2,0.047619047619047616,12
BradTo00,27,201510110dal,20,74.07407407407408,1,0,0.0,0.037037037037037035,0.0,0.0,0,59,2,0.07407407407407407,0.1,2,275,10.185185185185185,13.75,130.9,2,1,3,5,0.18518518518518517,28
BradTo00,37,201510180clt,23,62.16216216216216,0,0,0.0,0.0,0.02702702702702703,0.043478260869565216,1,39,2,0.08108108108108109,0.13043478260869565,3,312,8.432432432432432,13.565217391304348,104.8,4,0,0,2,0.05405405405405406,11
BradTo00,54,201510250nwe,34,62.96296296296296,1,0,0.0,0.018518518518518517,0.0,0.0,0,27,11,0.037037037037037035,0.058823529411764705,2,355,6.574074074074074,10.441176470588236,94.3,4,1,15,3,0.05555555555555555,18
BradTo00,38,201510290nwe,26,68.42105263157895,0,0,0.0,0.0,0.0,0.0,0,47,1,0.10526315789473684,0.15384615384615385,4,356,9.368421052631579,13.692307692307692,133.2,1,0,1,2,0.05263157894736842,14
BradTo00,39,201511080nwe,26,66.66666666666666,0,0,0.0,0.0,0.02564102564102564,0.038461538461538464,1,48,-1,0.05128205128205128,0.07692307692307693,2,299,7.666666666666667,11.5,96.0,1,0,-1,0,0.0,0
BradTo00,42,201511150nyg,26,61.904761904761905,2,1,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.038461538461538464,1,76,10,0.047619047619047616,0.07692307692307693,2,334,7.9523809523809526,12.846153846153847,92.8,2,0,9,3,0.07142857142857142,5
BradTo00,39,201511230nwe,20,51.28205128205128,0,0,0.0,0.0,0.02564102564102564,0.05,1,41,0,0.02564102564102564,0.05,1,277,7.102564102564102,13.85,72.3,0,0,0,1,0.02564102564102564,6
BradTo00,42,201511290den,23,54.761904761904766,0,0,0.0,0.0,0.0,0.0,0,63,0,0.07142857142857142,0.13043478260869565,3,280,6.666666666666667,12.173913043478262,99.3,0,0,0,3,0.07142857142857142,18
BradTo00,56,201512060nwe,29,51.78571428571429,0,0,0.0,0.0,0.03571428571428571,0.06896551724137931,2,30,12,0.05357142857142857,0.10344827586206896,3,312,5.571428571428571,10.758620689655173,71.4,6,1,17,4,0.07142857142857142,24
BradTo00,30,201512130htx,22,73.33333333333333,0,0,0.0,0.0,0.0,0.0,0,45,13,0.06666666666666667,0.09090909090909091,2,226,7.533333333333333,10.272727272727273,116.8,4,0,10,3,0.1,29
BradTo00,35,201512200nwe,23,65.71428571428571,0,0,0.0,0.0,0.0,0.0,0,31,0,0.05714285714285714,0.08695652173913043,2,267,7.628571428571429,11.608695652173912,107.7,0,0,0,2,0.05714285714285714,14
BradTo00,31,201512270nyj,22,70.96774193548387,0,0,0.0,0.0,0.03225806451612903,0.045454545454545456,1,30,-1,0.03225806451612903,0.045454545454545456,1,231,7.451612903225806,10.5,89.6,1,0,-1,2,0.06451612903225806,10
BradTo00,21,201601030mia,12,57.14285714285714,1,0,0.0,0.047619047619047616,0.0,0.0,0,68,-1,0.0,0.0,0,134,6.380952380952381,11.166666666666666,76.3,1,0,-1,2,0.09523809523809523,14
BradTo00,42,201601160nwe,28,66.66666666666666,0,0,0.0,0.0,0.0,0.0,0,42,10,0.047619047619047616,0.07142857142857142,2,302,7.190476190476191,10.785714285714286,103.5,6,1,6,0,0.0,0
BradTo00,56,201601240den,27,48.214285714285715,0,0,0.0,0.0,0.03571428571428571,0.07407407407407407,2,40,11,0.017857142857142856,0.037037037037037035,1,310,5.535714285714286,11.481481481481481,56.4,3,0,13,4,0.07142857142857142,18
BradTo00,40,201610090cle,28,70.0,0,0,0.0,0.0,0.0,0.0,0,63,10,0.075,0.10714285714285714,3,406,10.15,14.5,127.7,2,0,14,1,0.025,3
BradTo00,35,201610160nwe,29,82.85714285714286,0,0,0.0,0.0,0.0,0.0,0,39,2,0.08571428571428572,0.10344827586206896,3,376,10.742857142857142,12.96551724137931,140.0,2,0,2,3,0.08571428571428572,18
BradTo00,26,201610230pit,19,73.07692307692307,0,0,0.0,0.0,0.0,0.0,0,37,5,0.07692307692307693,0.10526315789473684,2,222,8.538461538461538,11.68421052631579,124.2,5,0,13,0,0.0,0
BradTo00,33,201610300buf,22,66.66666666666666,0,0,0.0,0.0,0.0,0.0,0,53,15,0.12121212121212122,0.18181818181818182,4,315,9.545454545454545,14.318181818181818,137.0,1,0,15,4,0.12121212121212122,22
BradTo00,32,201611130nwe,23,71.875,1,0,0.0,0.03125,0.03125,0.043478260869565216,1,36,3,0.0,0.0,0,316,9.875,13.73913043478261,90.1,5,0,7,2,0.0625,12
BradTo00,40,201611200sfo,24,60.0,0,0,0.0,0.0,0.0,0.0,0,56,7,0.1,0.16666666666666666,4,280,7.0,11.666666666666666,114.6,4,0,12,1,0.025,7
BradTo00,50,201611270nyj,30,60.0,1,0,0.0,0.02,0.0,0.0,0,0,-1,0.04,0.06666666666666667,2,286,5.72,9.533333333333333,89.2,3,0,-4,0,0.0,0
BradTo00,46,201612040nwe,33,71.73913043478261,0,0,0.0,0.0,0.0,0.0,0,32,3,0.021739130434782608,0.030303030303030304,1,269,5.8478260869565215,8.151515151515152,93.5,3,0,1,0,0.0,0
BradTo00,38,201612120nwe,25,65.78947368421053,0,0,0.0,0.0,0.02631578947368421,0.04,1,79,-1,0.07894736842105263,0.12,3,406,10.68421052631579,16.24,116.8,1,0,-1,1,0.02631578947368421,5
BradTo00,32,201612180den,16,50.0,2,0,0.0,0.0625,0.0,0.0,0,34,-1,0.0,0.0,0,188,5.875,11.75,68.2,1,0,-1,2,0.0625,11
BradTo00,27,201612240nwe,17,62.96296296296296,1,0,0.0,0.037037037037037035,0.0,0.0,0,35,0,0.1111111111111111,0.17647058823529413,3,214,7.925925925925926,12.588235294117647,124.6,0,0,0,1,0.037037037037037035,9
BradTo00,33,201701010mia,25,75.75757575757575,0,0,0.0,0.0,0.0,0.0,0,77,6,0.09090909090909091,0.12,3,276,8.363636363636363,11.04,130.4,1,0,6,0,0.0,0
BradTo00,38,201701140nwe,18,47.368421052631575,0,0,0.0,0.0,0.05263157894736842,0.1111111111111111,2,48,2,0.05263157894736842,0.1111111111111111,2,287,7.552631578947368,15.944444444444445,68.6,4,0,-1,2,0.05263157894736842,8
BradTo00,42,201701220nwe,32,76.19047619047619,0,0,0.0,0.0,0.0,0.0,0,41,2,0.07142857142857142,0.09375,3,384,9.142857142857142,12.0,127.5,4,0,-1,2,0.047619047619047616,10
BradTo00,62,201702050atl,43,69.35483870967742,0,0,0.0,0.0,0.016129032258064516,0.023255813953488372,1,28,15,0.03225806451612903,0.046511627906976744,2,466,7.516129032258065,10.837209302325581,95.2,1,0,15,5,0.08064516129032258,24
BradTo00,36,201709070nwe,16,44.44444444444444,0,0,0.0,0.0,0.0,0.0,0,54,1,0.0,0.0,0,267,7.416666666666667,16.6875,70.0,2,0,0,3,0.08333333333333333,20
BradTo00,39,201709170nor,30,76.92307692307693,0,0,0.0,0.0,0.0,0.0,0,53,7,0.07692307692307693,0.1,3,447,11.461538461538462,14.9,139.6,2,0,9,2,0.05128205128205128,11
BradTo00,35,201709240nwe,25,71.42857142857143,3,1,0.02857142857142857,0.08571428571428572,0.0,0.0,0,47,6,0.14285714285714285,0.2,5,378,10.8,15.12,146.2,1,0,6,5,0.14285714285714285,41
BradTo00,45,201710010nwe,32,71.11111111111111,0,0,0.0,0.0,0.0,0.0,0,43,2,0.044444444444444446,0.0625,2,307,6.822222222222222,9.59375,104.6,1,0,2,3,0.06666666666666667,14
BradTo00,40,201710050tam,30,75.0,1,1,0.025,0.025,0.025,0.03333333333333333,1,34,4,0.025,0.03333333333333333,1,303,7.575,10.1,94.1,2,0,5,3,0.075,14
BradTo00,38,201710150nyj,20,52.63157894736842,0,0,0.0,0.0,0.02631578947368421,0.05,1,42,-1,0.05263157894736842,0.1,2,257,6.7631578947368425,12.85,80.7,1,0,-1,0,0.0,0
BradTo00,29,201710220nwe,21,72.41379310344827,1,0,0.0,0.034482758620689655,0.0,0.0,0,30,6,0.06896551724137931,0.09523809523809523,2,249,8.586206896551724,11.857142857142858,121.2,5,0,5,2,0.06896551724137931,8
BradTo00,47,201710290nwe,32,68.08510638297872,0,0,0.0,0.0,0.0,0.0,0,27,2,0.02127659574468085,0.03125,1,333,7.085106382978723,10.40625,95.4,1,0,2,3,0.06382978723404255,16
BradTo00,34,201711120den,25,73.52941176470588,0,0,0.0,0.0,0.0,0.0,0,27,0,0.08823529411764706,0.12,3,266,7.823529411764706,10.64,125.4,1,0,0,1,0.029411764705882353,6
BradTo00,37,201711190rai,30,81.08108108108108,0,0,0.0,0.0,0.0,0.0,0,64,0,0.08108108108108109,0.1,3,340,9.18918918918919,11.333333333333334,132.0,0,0,0,1,0.02702702702702703,8
BradTo00,28,201711260nwe,18,64.28571428571429,2,1,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.05555555555555555,1,39,0,0.14285714285714285,0.2222222222222222,4,227,8.107142857142858,12.61111111111111,114.1,5,0,-4,1,0.03571428571428571,6
BradTo00,30,201712030buf,21,70.0,0,0,0.0,0.0,0.03333333333333333,0.047619047619047616,1,30,0,0.0,0.0,0,258,8.6,12.285714285714286,82.4,0,0,0,3,0.1,14
BradTo00,43,201712110mia,24,55.81395348837209,0,0,0.0,0.0,0.046511627906976744,0.08333333333333333,2,38,0,0.023255813953488372,0.041666666666666664,1,233,5.4186046511627906,9.708333333333334,59.5,0,0,0,2,0.046511627906976744,10
BradTo00,35,201712170pit,22,62.857142857142854,0,0,0.0,0.0,0.02857142857142857,0.045454545454545456,1,43,-1,0.02857142857142857,0.045454545454545456,1,298,8.514285714285714,13.545454545454545,87.6,2,0,-2,2,0.05714285714285714,15
BradTo00,28,201712240nwe,21,75.0,0,0,0.0,0.0,0.03571428571428571,0.047619047619047616,1,24,4,0.07142857142857142,0.09523809523809523,2,224,8.0,10.666666666666666,106.8,2,0,6,2,0.07142857142857142,6
BradTo00,37,201712310nwe,18,48.64864864864865,0,0,0.0,0.0,0.0,0.0,0,37,0,0.05405405405405406,0.1111111111111111,2,190,5.135135135135135,10.555555555555555,82.0,0,0,0,2,0.05405405405405406,12
BradTo00,53,201801130nwe,35,66.0377358490566,0,0,0.0,0.0,0.0,0.0,0,31,2,0.05660377358490566,0.08571428571428572,3,337,6.3584905660377355,9.628571428571428,102.5,1,0,2,0,0.0,0
BradTo00,38,201801210nwe,26,68.42105263157895,0,0,0.0,0.0,0.0,0.0,0,31,2,0.05263157894736842,0.07692307692307693,2,290,7.631578947368421,11.153846153846153,108.4,5,0,0,3,0.07894736842105263,12
BradTo00,48,201802040nwe,28,58.333333333333336,1,1,0.020833333333333332,0.020833333333333332,0.0,0.0,0,50,6,0.0625,0.10714285714285714,3,505,10.520833333333334,18.035714285714285,115.4,1,0,6,1,0.020833333333333332,5
BradTo00,39,201809090nwe,26,66.66666666666666,0,0,0.0,0.0,0.02564102564102564,0.038461538461538464,1,30,2,0.07692307692307693,0.11538461538461539,3,277,7.102564102564102,10.653846153846153,102.2,1,0,2,2,0.05128205128205128,10
BradTo00,35,201809160jax,24,68.57142857142857,1,1,0.02857142857142857,0.02857142857142857,0.0,0.0,0,29,10,0.05714285714285714,0.08333333333333333,2,234,6.685714285714286,9.75,106.1,3,0,10,2,0.05714285714285714,14
BradTo00,26,201809230det,14,53.84615384615385,0,0,0.0,0.0,0.038461538461538464,0.07142857142857142,1,19,2,0.038461538461538464,0.07142857142857142,1,133,5.115384615384615,9.5,65.1,1,0,2,2,0.07692307692307693,13
BradTo00,35,201809300nwe,23,65.71428571428571,0,0,0.0,0.0,0.05714285714285714,0.08695652173913043,2,55,0,0.08571428571428572,0.13043478260869565,3,274,7.828571428571428,11.91304347826087,94.2,0,0,0,0,0.0,0
BradTo00,44,201810040nwe,34,77.27272727272727,0,0,0.0,0.0,0.045454545454545456,0.058823529411764705,2,34,1,0.06818181818181818,0.08823529411764706,3,341,7.75,10.029411764705882,102.6,3,1,-1,0,0.0,0
BradTo00,35,201810140nwe,24,68.57142857142857,2,1,0.02857142857142857,0.05714285714285714,0.0,0.0,0,42,4,0.02857142857142857,0.041666666666666664,1,340,9.714285714285714,14.166666666666666,109.2,3,1,2,2,0.05714285714285714,13
BradTo00,36,201810210chi,25,69.44444444444444,0,0,0.0,0.0,0.027777777777777776,0.04,1,55,6,0.08333333333333333,0.12,3,277,7.694444444444445,11.08,108.2,1,0,6,1,0.027777777777777776,4
BradTo00,45,201810290buf,29,64.44444444444444,1,0,0.0,0.022222222222222223,0.0,0.0,0,29,8,0.0,0.0,0,324,7.2,11.172413793103448,85.8,1,0,8,2,0.044444444444444446,13
BradTo00,35,201811040nwe,22,62.857142857142854,0,0,0.0,0.0,0.0,0.0,0,55,2,0.02857142857142857,0.045454545454545456,1,294,8.4,13.363636363636363,99.0,5,0,-1,2,0.05714285714285714,21
BradTo00,41,201811110oti,21,51.21951219512195,0,0,0.0,0.0,0.0,0.0,0,44,0,0.0,0.0,0,254,6.195121951219512,12.095238095238095,70.6,1,0,0,3,0.07317073170731707,23
BradTo00,31,201811250nyj,20,64.51612903225806,0,0,0.0,0.0,0.0,0.0,0,36,-1,0.06451612903225806,0.1,2,283,9.129032258064516,14.15,115.4,1,0,-1,0,0.0,0
BradTo00,32,201812020nwe,24,75.0,0,0,0.0,0.0,0.03125,0.041666666666666664,1,42,5,0.03125,0.041666666666666664,1,311,9.71875,12.958333333333334,102.5,2,0,5,0,0.0,0
BradTo00,43,201812090mia,27,62.7906976744186,0,0,0.0,0.0,0.0,0.0,0,37,3,0.06976744186046512,0.1111111111111111,3,358,8.325581395348838,13.25925925925926,112.4,1,0,3,2,0.046511627906976744,14
BradTo00,36,201812160pit,25,69.44444444444444,0,0,0.0,0.0,0.027777777777777776,0.04,1,63,0,0.027777777777777776,0.04,1,279,7.75,11.16,89.9,0,0,0,1,0.027777777777777776,7
BradTo00,24,201812230nwe,13,54.166666666666664,0,0,0.0,0.0,0.08333333333333333,0.15384615384615385,2,32,0,0.041666666666666664,0.07692307692307693,1,126,5.25,9.692307692307692,48.3,0,0,0,1,0.041666666666666664,9
BradTo00,33,201812300nwe,24,72.72727272727273,0,0,0.0,0.0,0.0,0.0,0,20,0,0.12121212121212122,0.16666666666666666,4,250,7.575757575757576,10.416666666666666,133.8,0,0,0,1,0.030303030303030304,6
BradTo00,44,201901130nwe,34,77.27272727272727,0,0,0.0,0.0,0.0,0.0,0,35,0,0.022727272727272728,0.029411764705882353,1,343,7.795454545454546,10.088235294117647,106.5,2,0,-1,0,0.0,0
BradTo00,46,201901200kan,30,65.21739130434783,0,0,0.0,0.0,0.043478260869565216,0.06666666666666667,2,30,-1,0.021739130434782608,0.03333333333333333,1,348,7.565217391304348,11.6,77.1,1,0,-1,0,0.0,0
BradTo00,46,201902030ram,30,65.21739130434783,0,0,0.0,0.0,0.043478260869565216,0.06666666666666667,2,30,-1,0.021739130434782608,0.03333333333333333,1,348,7.565217391304348,11.6,77.1,1,0,-1,0,0.0,0
BradTo00,36,201909080nwe,24,66.66666666666666,0,0,0.0,0.0,0.0,0.0,0,58,0,0.08333333333333333,0.125,3,341,9.472222222222221,14.208333333333334,124.9,0,0,0,1,0.027777777777777776,7
BradTo00,28,201909150mia,20,71.42857142857143,0,0,0.0,0.0,0.0,0.0,0,32,1,0.07142857142857142,0.1,2,264,9.428571428571429,13.2,124.7,2,1,1,2,0.07142857142857142,9
BradTo00,42,201909220nwe,28,66.66666666666666,0,0,0.0,0.0,0.0,0.0,0,41,0,0.047619047619047616,0.07142857142857142,2,306,7.285714285714286,10.928571428571429,103.9,2,0,-1,0,0.0,0
BradTo00,39,201909290buf,18,46.15384615384615,0,0,0.0,0.0,0.02564102564102564,0.05555555555555555,1,31,-1,0.0,0.0,0,150,3.8461538461538463,8.333333333333334,45.9,3,0,-3,0,0.0,0
BradTo00,42,201910060was,28,66.66666666666666,0,0,0.0,0.0,0.023809523809523808,0.03571428571428571,1,31,0,0.07142857142857142,0.10714285714285714,3,348,8.285714285714286,12.428571428571429,106.1,0,0,0,4,0.09523809523809523,36
BradTo00,41,201910100nwe,31,75.60975609756098,2,1,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.03225806451612903,1,36,2,0.0,0.0,0,334,8.146341463414634,10.774193548387096,88.9,7,2,6,3,0.07317073170731707,21
BradTo00,45,201910210nyj,31,68.88888888888889,0,0,0.0,0.0,0.022222222222222223,0.03225806451612903,1,28,0,0.022222222222222223,0.03225806451612903,1,249,5.533333333333333,8.03225806451613,80.7,0,0,0,0,0.0,0
BradTo00,36,201910270nwe,20,55.55555555555556,0,0,0.0,0.0,0.0,0.0,0,59,0,0.05555555555555555,0.1,2,259,7.194444444444445,12.95,96.9,0,0,0,3,0.08333333333333333,20
BradTo00,46,201911030rav,30,65.21739130434783,1,0,0.0,0.021739130434782608,0.021739130434782608,0.03333333333333333,1,30,0,0.021739130434782608,0.03333333333333333,1,285,6.195652173913044,9.5,80.4,0,0,0,2,0.043478260869565216,17
BradTo00,47,201911170phi,26,55.319148936170215,0,0,0.0,0.0,0.0,0.0,0,30,-1,0.0,0.0,0,216,4.595744680851064,8.307692307692308,67.3,1,0,-1,1,0.02127659574468085,7
BradTo00,37,201911240nwe,17,45.94594594594595,1,0,0.0,0.02702702702702703,0.0,0.0,0,32,-1,0.02702702702702703,0.058823529411764705,1,190,5.135135135135135,11.176470588235293,70.8,2,0,-3,2,0.05405405405405406,9
BradTo00,47,201912010htx,24,51.06382978723404,0,0,0.0,0.0,0.02127659574468085,0.041666666666666664,1,44,13,0.06382978723404255,0.125,3,326,6.9361702127659575,13.583333333333334,85.9,1,0,13,3,0.06382978723404255,23
BradTo00,36,201912080nwe,19,52.77777777777778,0,0,0.0,0.0,0.027777777777777776,0.05263157894736842,1,37,17,0.027777777777777776,0.05263157894736842,1,169,4.694444444444445,8.894736842105264,63.3,2,0,20,3,0.08333333333333333,20
BradTo00,29,201912150cin,15,51.724137931034484,0,0,0.0,0.0,0.0,0.0,0,23,-1,0.06896551724137931,0.13333333333333333,2,128,4.413793103448276,8.533333333333333,86.6,2,0,-2,2,0.06896551724137931,12
BradTo00,33,201912210nwe,26,78.78787878787878,0,0,0.0,0.0,0.0,0.0,0,31,3,0.030303030303030304,0.038461538461538464,1,271,8.212121212121213,10.423076923076923,111.0,4,0,4,0,0.0,0
BradTo00,29,201912290nwe,16,55.172413793103445,0,0,0.0,0.0,0.034482758620689655,0.0625,1,50,0,0.06896551724137931,0.125,2,221,7.620689655172414,13.8125,88.4,0,0,0,1,0.034482758620689655,4
BradTo00,37,202001040nwe,20,54.054054054054056,0,0,0.0,0.0,0.02702702702702703,0.05,1,29,0,0.0,0.0,0,209,5.648648648648648,10.45,59.4,0,0,0,0,0.0,0
